repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num,score
kernel,cpufreq_cpu_acquire,cpufreq_cpu_get,cpufreq_cpu_put,retval,policy,Global,2,17.47
kernel,dlpar_hp_pmem,of_find_node_by_type,of_node_put,retval,pmem_node,Global,3,13.5
kernel,of_find_spi_device_by_node,bus_find_device_by_of_node,put_device,retval,dev,Global,2,13.3
kernel,bebob_probe,fw_unit_get,fw_unit_put,retval,bebob->unit,Global,29,12.45
kernel,fsl_udc_probe,usb_get_phy,usb_put_phy,retval,udc_controller->transceiver,Global,23,12.14
kernel,a6xx_gmu_init,of_find_device_by_node,put_device,retval,pdev,Global,50,11.44
kernel,altera_ci_init,find_inode,iput,retval,temp_int,Global,4,11.2
kernel,img_ir_probe_hw,rc_allocate_device,rc_free_device,retval,hw->rdev,Global,4,11.2
kernel,altera_hw_filt_init,find_inode,iput,retval,temp_int,Global,3,11.0
kernel,adpt_detect,pci_get_device,pci_dev_put,arg0,PCI_DPT_VENDOR_ID,Global,49,10.88
kernel,altera_ci_tuner_reset,find_inode,iput,retval,temp_int,Global,2,10.8
kernel,stv0900_init_internal,find_inode,iput,retval,temp_int,Global,2,10.8
kernel,img_ir_probe_raw,rc_allocate_device,rc_free_device,retval,raw->rdev,Global,2,10.8
kernel,pxa_udc_probe,usb_get_phy,usb_put_phy,retval,udc->transceiver,Global,15,10.54
kernel,rk3328_platform_probe,gpiod_get_optional,gpiod_put,retval,rk3328->mute,Global,8,10.33
kernel,am654_hbmc_probe,of_get_next_child,of_node_put,retval,priv->hbdev.np,Global,17,10.05
kernel,sonypi_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,44,9.88
kernel,motu_probe,fw_unit_get,fw_unit_put,retval,motu->unit,Global,16,9.85
kernel,sa1100fb_probe,gpiod_get_optional,gpiod_put,retval,fbi->shannon_lcden,Global,3,9.33
kernel,lms283gf05_probe,gpiod_get_optional,gpiod_put,retval,st->reset,Global,2,9.13
kernel,i7300_get_devices,pci_dev_get,pci_dev_put,retval,,Global,15,8.96
kernel,efw_probe,fw_unit_get,fw_unit_put,retval,efw->unit,Global,10,8.65
kernel,tusb_musb_init,usb_get_phy,usb_put_phy,retval,musb->xceiv,Global,5,8.54
kernel,oxfw_probe,fw_unit_get,fw_unit_put,retval,oxfw->unit,Global,9,8.45
kernel,usb_otg_start,usb_get_phy,usb_put_phy,retval,otg_trans,Global,4,8.34
kernel,i7core_get_onedevice,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,36,8.28
kernel,sis_init_one,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_SI,Global,36,8.28
kernel,dice_probe,fw_unit_get,fw_unit_put,retval,dice->unit,Global,8,8.25
kernel,da8xx_musb_init,usb_get_phy,usb_put_phy,retval,musb->xceiv,Global,3,8.14
kernel,mvebu_mbus_dt_init,of_find_node_by_phandle,of_node_put,retval,controller,Global,3,8.14
kernel,update_events_in_group,of_find_node_by_phandle,of_node_put,retval,pmu_events,Global,3,8.14
kernel,add_legacy_soc_port,of_get_parent,of_node_put,retval,tsi,Global,7,8.05
kernel,snd_dg00x_probe,fw_unit_get,fw_unit_put,retval,dg00x->unit,Global,7,8.05
kernel,snd_tscm_probe,fw_unit_get,fw_unit_put,retval,tscm->unit,Global,7,8.05
kernel,sdhci_esdhc_probe,of_find_compatible_node,of_node_put,retval,,Global,32,7.99
kernel,usbhs_mod_gadget_probe,usb_get_phy,usb_put_phy,retval,gpriv->transceiver,Global,2,7.94
kernel,ux500_musb_init,usb_get_phy,usb_put_phy,retval,musb->xceiv,Global,2,7.94
kernel,snd_ff_probe,fw_unit_get,fw_unit_put,retval,ff->unit,Global,6,7.85
kernel,__nvmem_device_get,bus_find_device,put_device,retval,dev,Para,4,7.85
kernel,__graph_for_each_link,of_get_next_child,of_node_put,retval,cpu_ep,Para,4,7.85
kernel,pmac_cpufreq_init_MacRISC3,of_find_node_by_name,of_node_put,retval,volt_gpio_np,Global,20,7.73
kernel,rockchip_gpio_probe,of_get_parent,of_node_put,retval,pctlnp,Global,5,7.65
kernel,p54p_probe,pci_dev_get,pci_dev_put,retval,,Global,8,7.56
kernel,rockchip_gpiolib_register,of_get_parent,of_node_put,retval,pctlnp,Global,4,7.45
kernel,xemaclite_mdio_setup,of_get_parent,of_node_put,retval,np,Global,3,7.25
kernel,berlin2q_clock_setup,of_get_parent,of_node_put,retval,parent_np,Global,3,7.25
kernel,omap_gpio_probe,of_node_get,of_node_put,retval,bank->chip.of_node,Global,26,7.16
kernel,rpcif_hb_probe,of_get_next_child,of_node_put,retval,hyperbus->hbdev.np,Global,2,7.05
kernel,meson_aoclkc_probe,of_get_parent,of_node_put,retval,,Global,2,7.05
kernel,berlin2_clock_setup,of_get_parent,of_node_put,retval,parent_np,Global,2,7.05
kernel,init_pmc551,pci_dev_get,pci_dev_put,retval,,Global,5,6.96
