repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num
kernel,mac_probe,of_find_device_by_node,put_device,retval,of_dev,Local,50
kernel,mtk_ddp_comp_init,of_find_device_by_node,put_device,retval,comp_pdev,Local,6
kernel,versatile_reboot_probe,of_find_matching_node_and_match,of_node_put,retval,np,Local,3
kernel,rockchip_grf_init,of_find_matching_node_and_match,of_node_put,retval,np,Local,3
kernel,realview_gic_of_init,of_find_matching_node_and_match,of_node_put,retval,np,Local,2
kernel,rockchip_init_usb_uart,of_find_matching_node_and_match,of_node_put,retval,np,Local,10
kernel,psci_dt_init,of_find_matching_node_and_match,of_node_put,retval,np,Local,2
kernel,of_flash_probe_versatile,of_find_matching_node_and_match,of_node_put,retval,sysnp,Local,3
kernel,mvebu_mbus_dt_init,of_find_matching_node_and_match,of_node_put,retval,np,Local,5
kernel,tegra_init_fuse,of_find_matching_node_and_match,of_node_put,retval,np,Local,3
kernel,ls_uarts_init,of_find_node_by_path,of_node_put,retval,avr,Local,3
kernel,i8042_platform_init,of_find_node_by_path,of_node_put,retval,root,Global,3
kernel,opal_export_attrs,of_find_node_by_path,of_node_put,retval,np,Local,2
kernel,map_prom_timers,of_find_node_by_path,of_node_put,retval,dp,Local,5
kernel,arm_dt_init_cpu_maps,of_find_node_by_path,of_node_put,retval,cpus,Global,4
kernel,bcm4908_partitions_fw_offset,of_find_node_by_path,of_node_put,retval,root,Local,2
kernel,pnv_parse_cpuidle_dt,of_find_node_by_path,of_node_put,retval,np,Local,10
kernel,jbusmc_probe,of_find_node_by_path,of_node_put,retval,mem_node,Local,8
kernel,spufs_init_isolated_loader,of_find_node_by_path,of_node_put,retval,dn,Local,2
kernel,bbc_beep_probe,of_find_node_by_path,of_node_put,retval,dp,Local,4
kernel,fsl_guts_probe,of_find_node_by_path,of_node_put,retval,root,Global,8
kernel,of_unittest_parse_phandle_with_args_map,of_find_node_by_path,of_node_put,retval,np,Local,5
kernel,mxs_machine_init,of_find_node_by_path,of_node_put,retval,root,Local,3
kernel,of_alias_scan,of_find_node_by_path,of_node_put,retval,of_aliases,Global,6
kernel,pseries_of_derive_parent,of_find_node_by_path,of_node_put,retval,parent,Local,2
kernel,leon_init_timers,of_find_node_by_path,of_node_put,retval,rootnp,Local,15
